"Summary","Description","Priority","Issue Type","Epic","Component","Estimate","Suggested Owner","Parallel Track","Can Start After","Acceptance Criteria"
"Frontend buyer dashboard and requests","Buyer dashboard active orders delivered waiting favorites requests custom offers reviews to write bilan yarating. Buyer request create/detail/proposal list accept reject flowini ulang.","Medium","Task","Frontend","Buyer Dashboard","7","Dev B","Frontend","Exchange APIs ready","Buyer request flow works; proposals shown; accept creates offer/order; empty states"
"Frontend seller public profile","Public seller profile page yarating. Avatar name online level country joined rating completed orders bio skills kworks portfolio reviews tabs ko'rsin.","Medium","Task","Frontend","Profile UI","4","Dev C","Frontend","Seller profile API ready","Public profile renders; tabs work; hidden content not shown; responsive"
"Frontend moderation admin pages","Moderator queue detail approve reject request changes report dispute payment raw payload pages yarating. Admin-only route guard bo'lsin. Rejection reason required.","Medium","Task","Frontend","Admin UI","7","Dev A","Frontend","Moderation APIs ready","Moderator queue works; approve/reject updates status; non-staff blocked"
"Frontend notifications UI","Notification dropdown/list mark read unread count toast behavior yarating. Order/payment/revision eventsdan notificationlar ko'rinsin.","Low","Task","Frontend","Notifications UI","3","Dev B","Frontend","Notification API ready","Unread count works; mark read works; dropdown responsive"
"Frontend payment and error states polish","Payment failed retry loading skeleton empty states permission denied 404 pages yozing. Barcha asosiy pagesda user-friendly error ko'rinsin.","Medium","Task","Frontend","UX Polish","4","Dev C","Frontend","Major frontend pages ready","Loading/error/empty states visible; no blank page; manual QA checklist pass"
"Docker compose local dev","docker-compose.yml postgres redis backend frontend servicelarini sozlang. Envlar .env.example bilan mos bo'lsin. One command bilan local stack ko'tarilsin.","Medium","Task","DevOps","Local Docker","5","Dev A","DevOps","Backend and frontend runnable","docker compose up works; postgres redis available; backend frontend ports documented"
"Celery worker beat setup","Celery worker va beat sozlang yoki management command scheduler alternative tanlang. Redis broker ishlasin. Auto jobs production-like ishlashi uchun composega qo'shing.","Medium","Task","DevOps","Background Jobs","4","Dev B","DevOps","Scheduled jobs ready","Worker starts; beat/command runs jobs; logs readable; README commands"
"Environment config validation","Required envlar startupda tekshirilsin. Missing critical env uchun aniq error. DEBUG false productionda unsafe defaults ishlamasin.","Medium","Task","DevOps","Config","3","Dev C","DevOps","Settings ready","Missing env clear error; prod unsafe config blocked; tests or management check"
"CI pipeline tests lint","GitHub Actions yoki lokal CI config yozing. Install deps run migrations run tests lint/format check ishlasin. PR har safar tests o'tkazadi.","Medium","Task","DevOps","CI","4","Dev A","DevOps","Tests ready","CI file present; tests run; failing test breaks pipeline; README badge optional"
"Formatting lint setup","Python formatter linter import sorter sozlang. Pre-commit optional. Komandalar READMEda bo'lsin. Juniorlar bir xil style bilan ishlasin.","Low","Task","DevOps","Code Quality","3","Dev B","DevOps","Project skeleton ready","Format/lint commands work; config files present; sample run passes"
"Production settings smoke","Gunicorn production settings allowed hosts CSRF trusted origins static collectstatic media config health endpoint tayyorlang. Real deploy emas lekin production run smoke bo'lsin.","Low","Task","DevOps","Production Prep","4","Dev C","DevOps","Settings and APIs ready","Health endpoint works; collectstatic works; gunicorn command documented"
"API health check endpoint","GET /api/health/ endpoint yozing. Database connection optional check qilsin. DevOps va frontend health uchun kerak.","Low","Task","Foundation","Health","2","Dev A","Foundation","Project skeleton ready","Health returns status ok; db check works; no auth required"
"End-to-end manual QA checklist","docs yoki txt ichida manual QA checklist yozing: signup seller create kwork moderation buyer order payment delivery approve review exchange custom offer refund. Juniorlar release oldi tekshira olsin.","Medium","Task","QA","Manual QA","3","Dev B","QA","Major flows ready","Checklist exists; each step expected result bilan; used before launch"
"Bug bash and stabilization pass","Barcha team umumiy bug bash o'tkazadi. Critical bugs priority bo'yicha tuzatiladi. API errorlar frontend empty states va permissions qayta tekshiriladi.","High","Task","QA","Stabilization","5","All","QA","All MVP tasks ready","Critical blockers fixed; regression tests pass; manual QA core flows pass"
"Demo launch preparation","Demo uchun seed data run qiling. Admin buyer seller credentials tayyorlang. Demo script yozing: buyer search order payment seller delivery buyer approve review. Final local run instructions yozing.","High","Task","Release","Demo Launch","3","All","Release","Bug bash complete","Demo script works; credentials documented; local app ready for presentation"
